Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Arizona Cardinals,110.4,18,223.0,17,333.4,22,110.4,14,223.0,14,333.4,11,-0.1,153,154,2-5,4-3-0
Atlanta Falcons,136.3,4,239.7,10,376.0,7,136.3,28,239.7,21,376.0,26,0.5,110,120,3-3,3-3-0
Baltimore Ravens,126.2,10,206.7,25,332.8,23,126.2,22,206.7,6,332.8,10,-1.2,144,194,1-5,1-5-0
Buffalo Bills,151.0,1,238.2,12,389.2,3,151.0,31,238.2,19,389.2,30,-0.2,167,137,4-2,2-4-0
Carolina Panthers,140.1,3,200.9,27,341.0,20,140.1,29,200.9,4,341.0,13,-0.3,145,152,4-3,5-2-0
Chicago Bears,129.3,7,229.7,15,359.0,12,129.3,25,229.7,16,359.0,21,1.8,152,155,4-2,4-2-0
Cincinnati Bengals,68.9,31,215.3,20,284.1,31,68.9,1,215.3,11,284.1,2,-0.3,136,214,3-4,3-4-0
Cleveland Browns,92.6,27,194.4,28,287.0,30,92.6,5,194.4,3,287.0,3,0.0,113,152,2-5,3-4-0
Dallas Cowboys,122.1,13,274.6,3,396.7,1,122.1,19,274.6,28,396.7,32,0.0,222,206,3-3-1,4-3-0
Denver Broncos,131.9,5,222.3,18,354.1,16,131.9,27,222.3,13,354.1,17,-0.3,163,127,5-2,2-5-0
Detroit Lions,128.7,8,232.2,13,360.8,11,128.7,24,232.2,18,360.8,22,0.9,215,151,5-2,5-2-0
Green Bay Packers,117.5,15,239.7,10,357.2,13,117.5,17,239.7,21,357.2,20,0.0,158,125,4-1-1,2-4-0
Houston Texans,116.2,16,219.8,19,336.0,21,116.2,16,219.8,12,336.0,12,0.2,108,61,2-3,2-3-0
Indianapolis Colts,130.1,6,257.0,7,387.1,4,130.1,26,257.0,24,387.1,29,1.0,232,140,6-1,5-2-0
Jacksonville Jaguars,119.7,14,231.4,14,351.1,17,119.7,18,231.4,17,351.1,16,1.1,146,155,4-3,4-3-0
Kansas City Chiefs,123.4,12,257.1,6,380.6,5,123.4,20,257.1,25,380.6,28,0.7,186,124,4-3,4-3-0
Los Angeles Rams,103.4,22,266.6,4,370.0,8,103.4,10,266.6,27,370.0,25,0.4,175,117,5-2,5-2-0
Los Angeles Chargers,111.1,17,279.6,2,390.7,2,111.1,15,279.6,29,390.7,31,-0.4,151,163,4-3,3-4-0
Las Vegas Raiders,93.7,26,203.6,26,297.3,28,93.7,6,203.6,5,297.3,5,-0.7,103,180,2-5,2-5-0
Miami Dolphins,92.4,28,200.9,27,293.3,29,92.4,4,200.9,4,293.3,4,-0.9,140,205,1-6,3-4-0
Minnesota Vikings,103.8,21,239.0,11,342.8,19,103.8,11,239.0,20,342.8,14,-0.7,145,125,3-3,3-3-0
New England Patriots,103.4,22,250.9,9,354.3,15,103.4,10,250.9,22,354.3,18,0.3,181,133,5-2,5-2-0
New Orleans Saints,100.1,23,209.9,23,310.0,24,100.1,9,209.9,8,310.0,9,0.1,125,186,1-6,2-5-0
New York Giants,125.1,11,225.3,16,350.4,18,125.1,21,225.3,15,350.4,15,-0.6,153,177,2-5,4-3-0
New York Jets,127.9,9,174.9,30,302.7,26,127.9,23,174.9,1,302.7,7,-1.3,129,183,0-7,3-4-0
Philadelphia Eagles,88.1,29,214.0,21,302.1,27,88.1,3,214.0,10,302.1,6,0.6,170,165,5-2,4-3-0
Pittsburgh Steelers,94.5,25,213.7,22,308.2,25,94.5,7,213.7,9,308.2,8,0.8,150,140,4-2,3-3-0
Seattle Seahawks,104.2,20,259.3,5,363.5,10,104.2,12,259.3,26,363.5,23,-0.2,166,117,4-2,4-2-0
San Francisco 49ers,95.3,24,284.3,1,379.6,6,95.3,8,284.3,30,379.6,27,-0.7,145,138,5-2,4-3-0
Tampa Bay Buccaneers,109.3,19,256.5,8,365.8,9,109.3,13,256.5,23,365.8,24,0.6,174,175,5-2,4-3-0
Tennessee Titans,75.7,30,193.7,29,269.4,32,75.7,2,193.7,2,269.4,1,-0.4,96,192,1-6,2-5-0
Washington Commanders,148.9,2,208.1,24,357.0,14,148.9,30,208.1,7,357.0,19,-0.7,180,170,3-4,3-4-0
